shipment_id,date,route,region,delivery_type,weight_kg,volume_m3,status
GF0012476,2023-07-27,Dubai-RAK,Northern Emirates,Standard,11.69,0.0296,Completed
GF0032452,2024-05-29,Dubai-RAK,Northern Emirates,Express,0.5,0.0626,Completed
GF0014852,2023-09-11,Dubai-Sharjah,Sharjah,Standard,15.27,0.0166,Completed
GF0007498,2023-04-06,Dubai-Sharjah,Sharjah,Express,0.78,0.0105,Completed
GF0005707,2023-03-09,Dubai-Riyadh,KSA,Standard,19.61,0.0146,Completed
GF0033016,2024-06-11,Dubai-Riyadh,KSA,Standard,6.15,0.0348,Completed
GF0016097,2023-10-02,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.16,0.0747,Completed
GF0027075,2024-02-19,Dubai-RAK,Northern Emirates,Standard,7.69,0.01,Completed
GF0028577,2024-03-13,Sharjah-Fujairah,Northern Emirates,Standard,5.29,0.0821,Completed
GF0028662,2024-03-15,Dubai-Riyadh,KSA,Standard,0.5,0.058,Completed
GF0010185,2023-06-01,Sharjah-Fujairah,Northern Emirates,Standard,6.05,0.0471,Completed
GF0007745,2023-04-11,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.96,0.0593,Completed
GF0015712,2023-09-25,Dubai-Abu Dhabi,Abu Dhabi,Express,0.95,0.01,Completed
GF0004469,2023-02-18,Abu Dhabi-Al Ain,Abu Dhabi,Standard,6.12,0.0257,Completed
GF0021832,2023-12-14,Abu Dhabi-Muscat,Oman,Standard,4.93,0.0368,Completed
GF0003240,2023-01-31,Dubai-RAK,Northern Emirates,Standard,2.82,0.0276,Completed
GF0003980,2023-02-11,Dubai-Riyadh,KSA,Express,1.4,0.01,Completed
GF0011261,2023-06-26,Sharjah-Fujairah,Northern Emirates,Express,5.17,0.0586,Completed
GF0030521,2024-04-18,Dubai-Sharjah,Sharjah,Express,0.5,0.076,Completed
GF0014197,2023-08-30,Abu Dhabi-Muscat,Oman,Standard,2.19,0.01,Completed
GF0030281,2024-04-15,Dubai-Riyadh,KSA,Express,3.87,0.0253,Completed
GF0027789,2024-02-29,Sharjah-Fujairah,Northern Emirates,Express,3.58,0.0126,Completed
GF0016705,2023-10-10,Dubai-RAK,Northern Emirates,Express,3.41,0.0243,Completed
GF0007164,2023-03-30,Abu Dhabi-Muscat,Oman,Express,1.44,0.0591,Completed
GF0005638,2023-03-08,Sharjah-Fujairah,Northern Emirates,Standard,3.67,0.0246,Completed
GF0021751,2023-12-13,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,2.05,0.01,Completed
GF0016483,2023-10-06,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.83,0.0202,Completed
GF0003497,2023-02-03,Dubai-Abu Dhabi,Abu Dhabi,Same-Day,0.5,0.0247,Completed
GF0019487,2023-11-14,Sharjah-Fujairah,Northern Emirates,Standard,12.79,0.01,Completed
GF0030047,2024-04-05,Sharjah-Fujairah,Northern Emirates,Standard,21.67,0.0214,Completed
GF0030501,2024-04-17,Sharjah-Fujairah,Northern Emirates,Standard,11.04,0.01,Completed
GF0019240,2023-11-11,Sharjah-Fujairah,Northern Emirates,Standard,7.73,0.0152,Completed
GF0017586,2023-10-22,Dubai-Sharjah,Sharjah,Express,2.92,0.0797,Completed
GF0024229,2024-01-12,Dubai-Sharjah,Sharjah,Standard,14.59,0.0175,Completed
GF0003847,2023-02-09,Dubai-Abu Dhabi,Abu Dhabi,Express,4.42,0.0396,Completed
GF0033583,2024-06-25,Dubai-RAK,Northern Emirates,Standard,25.21,0.01,Completed
GF0014631,2023-09-07,Dubai-Sharjah,Sharjah,Express,2.31,0.03,Completed
GF0007708,2023-04-10,Dubai-Abu Dhabi,Abu Dhabi,Standard,22.34,0.0368,Completed
GF0023530,2024-01-04,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.62,0.01,Completed
GF0003798,2023-02-08,Dubai-Abu Dhabi,Abu Dhabi,Standard,5.25,0.0369,Completed
GF0010381,2023-06-06,Sharjah-Fujairah,Northern Emirates,Express,2.03,0.01,Completed
GF0021198,2023-12-07,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.5,0.034,Completed
GF0015525,2023-09-21,Dubai-RAK,Northern Emirates,Standard,28.5,0.1016,Completed
GF0016709,2023-10-10,Abu Dhabi-Muscat,Oman,Express,11.66,0.0219,Completed
GF0007657,2023-04-10,Sharjah-Fujairah,Northern Emirates,Standard,13.04,0.01,Completed
GF0002668,2023-01-24,Abu Dhabi-Al Ain,Abu Dhabi,Standard,0.87,0.0528,Completed
GF0021624,2023-12-12,Dubai-RAK,Northern Emirates,Same-Day,5.68,0.01,Completed
GF0015314,2023-09-19,Dubai-Abu Dhabi,Abu Dhabi,Standard,9.12,0.0883,Completed
GF0015165,2023-09-15,Abu Dhabi-Muscat,Oman,Standard,10.46,0.01,Completed
GF0007556,2023-04-07,Dubai-Riyadh,KSA,Standard,4.07,0.0924,Completed
GF0006187,2023-03-15,Dubai-Sharjah,Sharjah,Standard,0.66,0.0203,Completed
GF0021818,2023-12-14,Abu Dhabi-Muscat,Oman,Standard,8.07,0.0268,Completed
GF0009282,2023-05-12,Dubai-Sharjah,Sharjah,Standard,5.77,0.0532,Completed
GF0016276,2023-10-04,Dubai-Sharjah,Sharjah,Standard,1.05,0.0411,Completed
GF0016885,2023-10-12,Dubai-Abu Dhabi,Abu Dhabi,Express,1.77,0.0276,Completed
GF0023353,2024-01-02,Dubai-Riyadh,KSA,Standard,1.29,0.1086,Completed
GF0010805,2023-06-15,Abu Dhabi-Muscat,Oman,Express,2.88,0.0414,Completed
GF0018344,2023-11-02,Dubai-Abu Dhabi,Abu Dhabi,Same-Day,5.6,0.01,Completed
GF0019754,2023-11-17,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.55,0.0276,Completed
GF0023938,2024-01-09,Dubai-Sharjah,Sharjah,Express,0.5,0.01,Completed
GF0005756,2023-03-10,Abu Dhabi-Al Ain,Abu Dhabi,Standard,16.23,0.0612,Completed
GF0023071,2023-12-28,Abu Dhabi-Al Ain,Abu Dhabi,Standard,6.61,0.0226,Completed
GF0027428,2024-02-23,Abu Dhabi-Al Ain,Abu Dhabi,Standard,29.83,0.0319,Completed
GF0018147,2023-10-30,Abu Dhabi-Al Ain,Abu Dhabi,Standard,4.36,0.0285,Completed
GF0025893,2024-02-02,Abu Dhabi-Muscat,Oman,Same-Day,6.6,0.0161,Completed
GF0020638,2023-11-29,Dubai-Riyadh,KSA,Standard,7.42,0.0783,Completed
GF0023492,2024-01-04,Dubai-Sharjah,Sharjah,Same-Day,0.5,0.0139,Completed
GF0002590,2023-01-23,Dubai-RAK,Northern Emirates,Standard,9.78,0.0125,Completed
GF0026564,2024-02-12,Dubai-RAK,Northern Emirates,Standard,0.91,0.01,Completed
GF0015929,2023-09-28,Abu Dhabi-Al Ain,Abu Dhabi,Express,2.9,0.018,Completed
GF0027244,2024-02-21,Dubai-Sharjah,Sharjah,Express,5.64,0.01,Completed
GF0009156,2023-05-09,Sharjah-Fujairah,Northern Emirates,Standard,11.01,0.0438,Completed
GF0001813,2023-01-12,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,1.48,0.0276,Completed
GF0017196,2023-10-17,Dubai-RAK,Northern Emirates,Same-Day,1.16,0.022,Completed
GF0011007,2023-06-20,Dubai-Sharjah,Sharjah,Express,0.86,0.01,Completed
GF0008330,2023-04-20,Abu Dhabi-Muscat,Oman,Standard,9.58,0.0526,Completed
GF0027393,2024-02-23,Dubai-Riyadh,KSA,Standard,3.14,0.01,Completed
GF0004013,2023-02-12,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.98,0.0469,Completed
GF0002377,2023-01-19,Dubai-RAK,Northern Emirates,Standard,0.5,0.0819,Completed
GF0028685,2024-03-15,Sharjah-Fujairah,Northern Emirates,Standard,19.12,0.01,Completed
GF0022273,2023-12-19,Dubai-Abu Dhabi,Abu Dhabi,Standard,7.85,0.0924,Completed
GF0024553,2024-01-17,Dubai-Riyadh,KSA,Express,0.5,0.0107,Completed
GF0018964,2023-11-09,Sharjah-Fujairah,Northern Emirates,Express,3.17,0.0266,Completed
GF0014819,2023-09-11,Abu Dhabi-Muscat,Oman,Express,5.92,0.021,Completed
GF0026536,2024-02-12,Abu Dhabi-Al Ain,Abu Dhabi,Standard,25.18,0.0916,Completed
GF0019438,2023-11-14,Dubai-Abu Dhabi,Unknown,Standard,1.1,0.0143,Completed
GF0023688,2024-01-05,Dubai-Sharjah,Sharjah,Express,0.51,0.012,Completed
GF0030741,2024-04-23,Sharjah-Fujairah,Northern Emirates,Standard,3.11,0.0603,Completed
GF0028781,2024-03-18,Dubai-Riyadh,KSA,Express,0.75,0.0518,Completed
GF0023995,2024-01-10,Dubai-Riyadh,KSA,Standard,3.75,0.0483,Completed
GF0008582,2023-04-27,Dubai-RAK,Northern Emirates,Express,0.58,0.01,Completed
GF0009274,2023-05-11,Dubai-Sharjah,Sharjah,Express,3.78,0.0329,Completed
GF0022079,2023-12-18,Abu Dhabi-Muscat,Oman,Express,1.53,0.01,Completed
GF0031244,2024-05-02,Dubai-Sharjah,Sharjah,Express,2.73,0.0132,Completed
GF0009832,2023-05-24,Dubai-Riyadh,KSA,Express,4.33,0.0149,Completed
GF0011609,2023-07-06,Dubai-Abu Dhabi,Abu Dhabi,Standard,1.73,0.0157,Completed
GF0020139,2023-11-23,Sharjah-Fujairah,Northern Emirates,Same-Day,5.42,0.0111,Completed
GF0017333,2023-10-18,Dubai-Riyadh,KSA,Standard,4.72,0.0216,Completed
GF0015103,2023-09-14,Abu Dhabi-Al Ain,Abu Dhabi,Express,4.71,0.0208,Completed
GF0007308,2023-04-03,Dubai-Sharjah,Sharjah,Express,2.02,0.0265,Completed
GF0011322,2023-06-27,Sharjah-Fujairah,Unknown,Standard,9.86,0.0886,Completed
GF0028964,2024-03-20,Dubai-Sharjah,Sharjah,Standard,15.26,0.026,Completed
GF0006780,2023-03-24,Dubai-Sharjah,Sharjah,Standard,1.23,0.0124,Completed
GF0017303,2023-10-18,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.78,0.01,Completed
GF0008486,2023-04-26,Dubai-Abu Dhabi,Abu Dhabi,Standard,4.58,0.01,Completed
GF0026785,2024-02-15,Dubai-Sharjah,Sharjah,Standard,27.06,0.01,Completed
GF0032622,2024-05-31,Sharjah-Fujairah,Northern Emirates,Same-Day,0.5,0.01,Completed
GF0010811,2023-06-15,Dubai-Sharjah,Sharjah,Standard,7.44,0.0347,Completed
GF0029907,2024-04-03,Dubai-Sharjah,Sharjah,Standard,4.39,0.0144,Completed
GF0005121,2023-02-28,Abu Dhabi-Al Ain,Abu Dhabi,Standard,11.02,0.0174,Completed
GF0024750,2024-01-19,Abu Dhabi-Muscat,Oman,Standard,2.33,0.0641,Completed
GF0002090,2023-01-16,Abu Dhabi-Al Ain,Abu Dhabi,Express,1.12,0.0273,Completed
GF0027793,2024-02-29,Dubai-Sharjah,Sharjah,Standard,5.09,0.01,Completed
GF0011004,2023-06-20,Dubai-Abu Dhabi,Abu Dhabi,Standard,10.82,0.01,Completed
GF0016318,2023-10-04,Dubai-RAK,Northern Emirates,Express,3.58,0.021,Completed
GF0033710,2024-06-28,Dubai-Sharjah,Sharjah,Standard,7.6,0.0393,Completed
GF0016505,2023-10-06,Sharjah-Fujairah,Northern Emirates,Standard,38.65,0.01,Completed
GF0029390,2024-03-26,Sharjah-Fujairah,Northern Emirates,Standard,13.37,0.0264,Completed
GF0028390,2024-03-11,Abu Dhabi-Muscat,Oman,Standard,22.29,0.0997,Completed
GF0030072,2024-04-05,Sharjah-Fujairah,Northern Emirates,Standard,25.84,0.0395,Completed
GF0005645,2023-03-08,Dubai-RAK,Northern Emirates,Same-Day,2.72,0.01,Completed
GF0018550,2023-11-04,Abu Dhabi-Muscat,Oman,Standard,2.79,0.01,Completed
GF0012838,2023-08-04,Sharjah-Fujairah,Northern Emirates,Express,0.59,0.1008,Completed
GF0009757,2023-05-23,Sharjah-Fujairah,Northern Emirates,Express,3.67,0.0158,Completed
GF0010084,2023-05-30,Dubai-Riyadh,KSA,Express,3.01,0.055,Completed
GF0025156,2024-01-24,Sharjah-Fujairah,Northern Emirates,Standard,8.69,0.0212,Completed
GF0002555,2023-01-23,Dubai-Abu Dhabi,Abu Dhabi,Express,9.58,0.0461,Completed
GF0018756,2023-11-07,Dubai-Abu Dhabi,Abu Dhabi,Express,2.15,0.01,Completed
GF0023215,2023-12-29,Abu Dhabi-Muscat,Oman,Standard,1.45,0.045,Completed
GF0007268,2023-04-03,Sharjah-Fujairah,Unknown,Standard,2.78,0.084,Completed
GF0025189,2024-01-25,Abu Dhabi-Al Ain,Abu Dhabi,Standard,9.65,0.1171,Completed
GF0022448,2023-12-21,Dubai-Abu Dhabi,Abu Dhabi,Same-Day,0.5,0.0183,Completed
GF0017483,2023-10-19,Abu Dhabi-Al Ain,Abu Dhabi,Standard,13.7,0.0369,Completed
GF0006770,2023-03-24,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.88,0.0339,Completed
GF0017148,2023-10-16,Dubai-Abu Dhabi,Abu Dhabi,Standard,11.47,0.0436,Completed
GF0023150,2023-12-28,Dubai-RAK,Northern Emirates,Same-Day,1.6,0.0119,Completed
GF0009873,2023-05-25,Abu Dhabi-Muscat,Oman,Same-Day,0.5,0.0104,Completed
GF0029977,2024-04-04,Abu Dhabi-Al Ain,Abu Dhabi,Express,13.39,0.0409,Completed
GF0016180,2023-10-03,Abu Dhabi-Muscat,Oman,Same-Day,0.5,0.01,Completed
GF0007753,2023-04-11,Abu Dhabi-Al Ain,Abu Dhabi,Standard,16.34,0.0715,Completed
GF0029723,2024-03-30,Abu Dhabi-Al Ain,Abu Dhabi,Standard,0.5,0.01,Completed
GF0012076,2023-07-17,Sharjah-Fujairah,Northern Emirates,Same-Day,0.5,0.0157,Completed
GF0024186,2024-01-12,Dubai-Sharjah,Sharjah,Standard,1.26,0.01,Completed
GF0002981,2023-01-27,Dubai-Sharjah,Sharjah,Standard,0.51,0.0359,Completed
GF0018966,2023-11-10,Sharjah-Fujairah,Unknown,Express,0.5,0.035,Completed
GF0022481,2023-12-21,Abu Dhabi-Al Ain,Abu Dhabi,Express,5.14,0.0116,Completed
GF0029872,2024-04-03,Abu Dhabi-Al Ain,Abu Dhabi,Express,3.95,0.01,Completed
GF0029300,2024-03-25,Abu Dhabi-Muscat,Oman,Standard,6.26,0.0765,Completed
GF0026407,2024-02-09,Dubai-RAK,Northern Emirates,Same-Day,2.53,0.0114,Completed
GF0001216,2023-01-04,Sharjah-Fujairah,Northern Emirates,Express,9.04,0.0263,Completed
GF0022532,2023-12-21,Dubai-Sharjah,Sharjah,Standard,40.95,0.0526,Completed
GF0007868,2023-04-13,Abu Dhabi-Muscat,Oman,Standard,2.36,0.0171,Completed
GF0005170,2023-02-28,Abu Dhabi-Muscat,Oman,Standard,2.71,0.0122,Completed
GF0005949,2023-03-14,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.61,0.0976,Completed
GF0027836,2024-03-01,Abu Dhabi-Al Ain,Abu Dhabi,Standard,11.56,0.0546,Completed
GF0019510,2023-11-15,Abu Dhabi-Muscat,Oman,Standard,10.22,0.0538,Completed
GF0019457,2023-11-14,Dubai-Abu Dhabi,Abu Dhabi,Express,0.92,0.01,Completed
GF0021833,2023-12-14,Sharjah-Fujairah,Northern Emirates,Express,0.5,0.0216,Completed
GF0024026,2024-01-10,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.25,0.0866,Completed
GF0024681,2024-01-18,Dubai-Sharjah,Sharjah,Express,1.15,0.0345,Completed
GF0032920,2024-06-07,Dubai-Abu Dhabi,Abu Dhabi,Standard,15.27,0.0244,Completed
GF0017550,2023-10-20,Dubai-Abu Dhabi,Abu Dhabi,Same-Day,7.48,0.029,Completed
GF0004441,2023-02-17,Abu Dhabi-Muscat,Oman,Same-Day,1.36,0.01,Completed
GF0003772,2023-02-08,Abu Dhabi-Muscat,Oman,Standard,0.68,0.0516,Completed
GF0013659,2023-08-21,Abu Dhabi-Al Ain,Abu Dhabi,Standard,2.12,0.0675,Completed
GF0027571,2024-02-27,Dubai-Riyadh,KSA,Express,8.83,0.0303,Completed
GF0001585,2023-01-09,Dubai-Abu Dhabi,Abu Dhabi,Standard,10.31,0.0822,Completed
GF0004014,2023-02-12,Dubai-Abu Dhabi,Abu Dhabi,Standard,13.0,0.0756,Completed
GF0023291,2024-01-02,Dubai-RAK,Northern Emirates,Express,3.12,0.012,Completed
GF0006513,2023-03-21,Dubai-Riyadh,KSA,Express,5.51,0.0176,Completed
GF0007562,2023-04-07,Abu Dhabi-Al Ain,Abu Dhabi,Standard,6.08,0.0264,Completed
GF0027892,2024-03-01,Dubai-Abu Dhabi,Abu Dhabi,Standard,0.8,0.066,Completed
GF0026339,2024-02-08,Dubai-Sharjah,Sharjah,Standard,6.06,0.0178,Completed
GF0032995,2024-06-10,Abu Dhabi-Al Ain,Abu Dhabi,Standard,4.98,0.056,Completed
GF0018865,2023-11-08,Dubai-RAK,Northern Emirates,Express,0.62,0.0102,Completed
GF0013593,2023-08-18,Sharjah-Fujairah,Northern Emirates,Express,1.29,0.0864,Completed
GF0006551,2023-03-21,Dubai-Riyadh,KSA,Standard,18.09,0.0633,Completed
GF0011205,2023-06-23,Abu Dhabi-Al Ain,Abu Dhabi,Standard,16.12,0.0166,Completed
GF0025515,2024-01-29,Sharjah-Fujairah,Northern Emirates,Same-Day,1.69,0.01,Completed
GF0011855,2023-07-12,Sharjah-Fujairah,Northern Emirates,Express,1.19,0.013,Completed
GF0018005,2023-10-27,Dubai-Sharjah,Sharjah,Standard,3.89,0.0458,Completed
GF0020597,2023-11-29,Dubai-RAK,Northern Emirates,Express,0.5,0.0425,Completed
GF0020017,2023-11-22,Dubai-RAK,Northern Emirates,Same-Day,1.05,0.01,Completed
GF0027192,2024-02-21,Dubai-Riyadh,KSA,Standard,0.5,0.0595,Completed
GF0012701,2023-08-02,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.87,0.0295,Completed
GF0005877,2023-03-13,Abu Dhabi-Al Ain,Abu Dhabi,Standard,18.78,0.0448,Completed
GF0004579,2023-02-20,Dubai-Sharjah,Sharjah,Standard,3.31,0.01,Completed
GF0003842,2023-02-09,Dubai-Riyadh,KSA,Standard,3.14,0.0913,Completed
GF0027619,2024-02-27,Abu Dhabi-Muscat,Oman,Standard,9.29,0.0176,Completed
GF0033689,2024-06-27,Sharjah-Fujairah,Northern Emirates,Express,6.4,0.01,Completed
GF0025669,2024-01-31,Dubai-Abu Dhabi,Abu Dhabi,Same-Day,1.7,0.01,Completed
GF0014862,2023-09-11,Dubai-Sharjah,Sharjah,Standard,3.44,0.0963,Completed
GF0019345,2023-11-13,Dubai-Sharjah,Sharjah,Standard,0.5,0.0835,Completed
GF0026689,2024-02-13,Dubai-Abu Dhabi,Abu Dhabi,Standard,2.27,0.0159,Completed
GF0024984,2024-01-23,Dubai-Sharjah,Sharjah,Standard,0.5,0.0237,Completed
GF0011648,2023-07-06,Sharjah-Fujairah,Northern Emirates,Express,0.5,0.1074,Completed
GF0008174,2023-04-18,Dubai-Riyadh,KSA,Standard,3.87,0.0116,Completed
GF0024587,2024-01-17,Dubai-Sharjah,Sharjah,Standard,0.5,0.0368,Completed
GF0025469,2024-01-29,Dubai-RAK,Northern Emirates,Standard,6.91,0.032,Completed
GF0031396,2024-05-06,Abu Dhabi-Muscat,Oman,Standard,1.32,0.0186,Completed
GF0022547,2023-12-21,Abu Dhabi-Muscat,Oman,Express,0.99,0.0219,Completed
GF0030357,2024-04-16,Dubai-RAK,Northern Emirates,Express,8.81,0.01,Completed
GF0008567,2023-04-27,Dubai-RAK,Northern Emirates,Standard,3.07,0.0911,Completed
GF0011475,2023-07-03,Dubai-Sharjah,Sharjah,Express,4.19,0.01,Completed
GF0004905,2023-02-24,Abu Dhabi-Al Ain,Abu Dhabi,Standard,5.07,0.01,Completed
GF0029986,2024-04-04,Abu Dhabi-Al Ain,Abu Dhabi,Same-Day,0.5,0.01,Completed
GF0006034,2023-03-15,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0308,Completed
GF0015084,2023-09-14,Dubai-Sharjah,Sharjah,Standard,0.5,0.1141,Completed
GF0006676,2023-03-23,Dubai-RAK,Northern Emirates,Standard,37.04,0.0282,Completed
GF0010403,2023-06-06,Dubai-Riyadh,KSA,Express,0.84,0.01,Completed
GF0026281,2024-02-08,Dubai-Riyadh,KSA,Standard,9.63,0.0278,Completed
GF0001083,2023-01-02,Abu Dhabi-Al Ain,Abu Dhabi,Express,9.22,0.0155,Completed
GF0006683,2023-03-23,Dubai-Riyadh,KSA,Standard,6.56,0.01,Completed
GF0016170,2023-10-03,Dubai-RAK,Northern Emirates,Express,0.5,0.0707,Completed
GF0012813,2023-08-03,Dubai-RAK,Northern Emirates,Standard,26.37,0.01,Completed
GF0032232,2024-05-23,Dubai-RAK,Northern Emirates,Same-Day,2.01,0.01,Completed
GF0015384,2023-09-19,Abu Dhabi-Al Ain,Abu Dhabi,Express,3.01,0.0318,Completed
GF0026260,2024-02-08,Dubai-Sharjah,Sharjah,Standard,8.94,0.0615,Completed
GF0002520,2023-01-23,Abu Dhabi-Muscat,Oman,Standard,5.67,0.0833,Completed
GF0028888,2024-03-19,Sharjah-Fujairah,Northern Emirates,Standard,18.35,0.0124,Completed
GF0026124,2024-02-06,Sharjah-Fujairah,Northern Emirates,Standard,1.07,0.0447,Completed
GF0026203,2024-02-07,Sharjah-Fujairah,Northern Emirates,Express,7.3,0.0346,Completed
GF0026323,2024-02-08,Abu Dhabi-Al Ain,Abu Dhabi,Express,0.5,0.0205,Completed
